cohort_id,First_Author,Publication_Title,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
1,Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,0.986570922935528,0.9832136536694099,0.17382729153300044,NA,NA,NA,2.2116314627387097,-0.4232629254774194,-1.2043871006092188,0.12086370912679492,4,5
2,Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,0.9849332646816864,0.981166580852108,0.10039299929970516,NA,NA,NA,4.956480223493214,-5.912960446986428,-6.694084622118227,0.0403150172335624,4,5
3,Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,0.9901129652210214,0.9876412065262767,0.11368190546881063,NA,NA,NA,4.334921380485773,-4.669842760971546,-5.450966936103345,0.05169430252407838,4,5
10,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",0.9758731278245113,0.9678308370993484,0.1603675335696646,NA,NA,NA,2.220758064900481,-0.441516129800962,-1.6689274075611809,0.07715323746965251,3,4
13,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",0.9738301378275744,0.9651068504367659,0.049730844516447666,NA,NA,NA,6.9041297095558996,-9.808259419111799,-11.035670696872018,0.007419470688957279,3,4
14,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",0.9715843366384915,0.9621124488513221,0.10393988424290874,NA,NA,NA,3.955380344460592,-3.910760688921184,-5.138171966681403,0.032410498609287804,3,4
15,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",0.9679754072806125,0.9573005430408167,0.16715962704364998,NA,NA,NA,2.0548343022402915,-0.10966860448058302,-1.3370798822408019,0.08382702274011647,3,4
35,Au,Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway,0.9869313392745053,0.9847532291535894,0.1550833501548961,NA,NA,NA,3.6535055925826754,-3.3070111851653508,-3.4151908870547243,0.14430507297159667,6,7
36,Au,Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway,0.9626704237889956,0.9552045085467947,0.4879029152926544,NA,NA,NA,-3.660833506885674,11.321667013771348,10.905185952227459,1.1902462737553554,5,6
37,Au,Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway,0.9574294722696554,0.9503343843145979,0.21635082869572086,NA,NA,NA,1.3229355207589786,1.3541289584820428,1.2459492565926693,0.28084608646395093,6,7
39,Barlocher,Incubation temperature and substrate quality modulate sporulation by aquatic hyphomycetes,0.9706761953449345,0.9657888945690903,0.045530670259019954,NA,NA,NA,12.232541406341298,-20.465082812682596,-20.57326251457197,0.012438251605413625,6,7
40,Barlocher,Incubation temperature and substrate quality modulate sporulation by aquatic hyphomycetes,0.99945095417446,0.9993136927180749,0.01732355259663861,NA,NA,NA,13.741607620270887,-23.483215240541774,-24.264339415673575,0.0012004218982740171,4,5
51,Benstead,Macroinvertebrates and the Processing of Leaf Litter in a Tropical Stream,0.9661272537417642,0.9593527044901171,0.10882115638568052,NA,NA,NA,5.341630539490105,-6.683261078980211,-7.099742140524101,0.05921022038558367,5,6
52,Biasi,The colonisation of leaf litter by Chironomidae (Diptera): The influence of chemical quality and exposure duration in a subtropical stream,0.9735740120319034,0.9669675150398793,0.13450532313625468,NA,NA,NA,3.4939237297730426,-2.987847459546085,-3.7689716346778845,0.07236672780795317,4,5
53,Biasi,The colonisation of leaf litter by Chironomidae (Diptera): The influence of chemical quality and exposure duration in a subtropical stream,0.9737257248403831,0.9671571560504789,0.052356307246567764,NA,NA,NA,8.21158054555262,-12.42316109110524,-13.204285266237038,0.010964731633988017,4,5
54,Cheever,The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition,0.9600112223179794,0.9520134667815753,0.04002195854459051,NA,NA,NA,11.34329554242687,-18.68659108485374,-19.103072146397633,0.008008785828724607,5,6
55,Cheever,The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition,0.9755149827721339,0.9706179793265607,0.0458668252449551,NA,NA,NA,10.525412579842861,-17.050825159685722,-17.467306221229613,0.01051882829025625,5,6
59,Claeson,Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates,0.9810625480320079,0.9747500640426772,0.2548537849819288,NA,NA,NA,0.36787117409939674,3.2642576518012065,2.0368463740409877,0.19485135515884555,3,4
62,Claeson,Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates,0.9810625480320079,0.9747500640426772,0.2548537849819288,NA,NA,NA,0.36787117409939674,3.2642576518012065,2.0368463740409877,0.19485135515884555,3,4
65,Claeson,Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates,0.9810625480320079,0.9747500640426772,0.2548537849819288,NA,NA,NA,0.36787117409939674,3.2642576518012065,2.0368463740409877,0.19485135515884555,3,4
75,Dezzeo,Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana,0.9940686725493604,0.993409636165956,0.042915789702720523,NA,NA,NA,17.822571870507872,-31.645143741015744,-31.03997355502765,0.016575885052273198,9,10
