cohort_id,weibull_alpha_025,weibull_alpha_975,weibulla_overlap_1
1,0.49584750915447295,1.7345940864907257,TRUE
2,0.45421169869162104,1.1845757891912396,TRUE
3,0.6419688977662107,0.9844186128846527,FALSE
4,0.33058426715779937,0.386570741557149,FALSE
5,0.2041698414821649,0.35548687629290515,FALSE
6,0.1726247289767294,2.123402949738116,TRUE
7,0.1534687357601163,0.2569645218116065,FALSE
8,0.07174194770543704,1.988221376843992,TRUE
9,0.03712906675001313,2.2476687453221507,TRUE
10,0.3586195829580914,2.3309261845067977,TRUE
11,0.06929910195312344,0.744250565348991,FALSE
12,0.27226396241880063,0.3557752527531408,FALSE
13,0.4012355390583353,1.6202041007397856,TRUE
14,0.20396319853335856,0.9167582449365123,FALSE
15,0.27637159953289747,1.470028631639338,TRUE
16,0.36038832212585875,0.42709834281322917,FALSE
35,0.5547609708231878,0.8195065225842093,FALSE
36,0.38062602475542334,0.7561923089018284,FALSE
37,0.33041881738104306,0.7554874296336573,FALSE
39,0.9067998015438568,1.7135972547493201,TRUE
40,0.8750613324758945,1.0852200685746556,TRUE
51,0.8010665830530674,20.70749560289915,TRUE
52,0.44539002282106277,1.7917115856995625,TRUE
53,0.21421879264590787,1.5311677942459294,TRUE
59,0.25977912908483086,1.5842358916397363,TRUE
60,0.6532766761149669,2.0951175183567536,TRUE
61,0.6528822260119367,2.7227891082682265,TRUE
62,0.2597791260451601,1.5842358916392332,TRUE
63,0.6532766761143727,2.0951175183477466,TRUE
64,0.6528822260128139,2.7227890614134362,TRUE
65,0.259779136095458,1.5842358916408275,TRUE
66,0.6532766761155091,2.0951175183304724,TRUE
67,0.6528822260100299,2.722789065653158,TRUE
75,0.7418856369533415,1.1906196334461088,TRUE
76,0.2138897637463533,0.4287524653377067,FALSE
77,0.37062392091778035,0.709135707948533,FALSE
78,0.2941813395392931,0.4503051951574715,FALSE
79,0.4823037815895579,0.8343700987086878,FALSE
80,0.23135744292934202,0.2761178641205802,FALSE
81,0.42393926184856295,0.5108736055645976,FALSE
82,0.21220937802440806,0.5100948792581744,FALSE
114,0.92169188423854,1.7361252113091465,TRUE
115,1.0163170165175122,1.3038696817520041,FALSE
116,1.3676041385011435,2.093216356036283,FALSE
117,1.4396192603776743,1.6356468405985092,FALSE
118,0.5212631456380826,1.068079972971202,TRUE
119,0.8623253023187876,1.2271466584315454,TRUE
120,0.5937832961263916,4.185705115528346,TRUE
121,0.011028526227154193,4.134515521060745,TRUE
132,0.4404003578288175,0.7618866777564368,FALSE
133,0.43638802126652154,0.7415708928869218,FALSE
134,0.37996197625310774,1.1725527528820614,TRUE
135,0.013850579881274977,1.0420843122032548,TRUE
136,0.5297728766328221,1.4527784787418139,TRUE
137,0.2932177770612635,3.420539897845091,TRUE
150,0.7659112965934194,0.9787211612940134,FALSE
151,0.3772587618897111,0.6205047122146697,FALSE
164,0.8497112891046533,1.1719103794603591,TRUE
165,0.6225799132689909,1.053185478301536,TRUE
166,0.752267888293633,1.2398277959966473,TRUE
167,0.5986926262041837,0.766819061635361,FALSE
168,0.8798814283830396,1.8364868647352954,TRUE
169,0.7208124760955054,1.1413633764677191,TRUE
170,0.9440723410108894,2.0936530286723176,TRUE
171,0.5533065048067725,0.8764711619770635,FALSE
172,0.85173402732639,3.447574477427132,TRUE
173,0.9157638425011998,1.1363426685526283,TRUE
174,0.1385460594491164,2.561705453406831,TRUE
256,0.020621917079240496,2.34802673174286,TRUE
257,1.44882218238996,1.658779447734598,FALSE
288,0.3655747896254605,0.4452117332694585,FALSE
289,0.357333672243978,0.5344208413436851,FALSE
332,0.29285724397247476,2.8058762099376846,TRUE
333,0.6717408333624464,1.8318645392775583,TRUE
334,0.3876057830853047,0.43645708005226796,FALSE
335,0.42069718320102495,0.5593734223017298,FALSE
336,0.4025835641043197,0.41062057569657867,FALSE
337,0.2872888375883423,0.31154063119658026,FALSE
338,0.23982480982577015,0.32601712065044564,FALSE
339,0.12390839993265915,0.13671941354599937,FALSE
340,0.06509039542194381,0.13314739620411198,FALSE
346,0.20188654893515423,0.49778512343778925,FALSE
347,0.23597883973455086,0.40090409948488753,FALSE
348,0.2300912049662273,0.5672604358435003,FALSE
349,0.20734288074959953,0.6092727092884332,FALSE
341,0.999102347285771,3.5067617171282293,TRUE
342,1.1786194622992505,2.1088873301811386,FALSE
343,0.572511307616087,0.748633251187205,FALSE
344,1.195005343262579,2.7996465210598402,FALSE
345,0.8438352798741259,1.4610480298606199,TRUE
350,3.023397937992847,15.633705599880804,FALSE
359,0.42621686272616455,0.8344495043434221,FALSE
360,0.008168249714786996,0.5127201454667845,FALSE
365,0.7620973492115491,1.2918257165457745,TRUE
366,0.7901991218558961,1.185914245218745,TRUE
367,0.5904088475632251,1.4962024761372845,TRUE
368,0.9188268329102798,1.7033495499702709,TRUE
373,31.445675008091197,31.44567500809259,FALSE
374,0.2498931082924474,3.6386547013230444,TRUE
375,0.194863976745064,1.4289015544360784,TRUE
376,0.1846357953644471,2.430483820127397,TRUE
377,0.2003102773902246,1.4672851054500977,TRUE
378,0.3248196160698992,1.2075196042689322,TRUE
379,0.3009084770204415,0.8390887745187366,FALSE
380,0.5024128945104068,1.6460700175025547,TRUE
381,0.609021174246639,0.7443184092736395,FALSE
382,0.47381254544830137,1.952936042689319,TRUE
383,0.38764728466665216,1.1859124630690883,TRUE
384,0.484455066705871,0.8855921293524505,FALSE
385,0.3753366725090527,1.1285273111323064,TRUE
386,0.4943129206776542,0.8853897365932862,FALSE
387,0.33081316923896037,0.9245494338918192,FALSE
